Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
input_oneID,Chrome 87.0.4280.141,,,2021-01-11 12:34:07,2021-01-11 12:34:52,45.248s,PASSED
,,,,,,,
Test Cases/login_testcase/login,Chrome 87.0.4280.141,,,2021-01-11 12:34:07,2021-01-11 12:34:23,15.303s,PASSED
openBrowser(url),Chrome 87.0.4280.141,,,2021-01-11 12:34:08,2021-01-11 12:34:17,9.661s,PASSED
"verifyElementPresent(findTestObject(""login_page/login_container""), 5)",Chrome 87.0.4280.141,,,2021-01-11 12:34:17,2021-01-11 12:34:18,0.426s,PASSED
"setText(findTestObject(""login_page/username_field""), username)",Chrome 87.0.4280.141,,,2021-01-11 12:34:18,2021-01-11 12:34:18,0.631s,PASSED
"setText(findTestObject(""login_page/pass_field""), password)",Chrome 87.0.4280.141,,,2021-01-11 12:34:18,2021-01-11 12:34:19,0.576s,PASSED
"click(findTestObject(""login_page/submit_login""))",Chrome 87.0.4280.141,,,2021-01-11 12:34:19,2021-01-11 12:34:22,2.982s,PASSED
"verifyElementNotPresent(findTestObject(""login_page/flash_error""), 5)",Chrome 87.0.4280.141,,,2021-01-11 12:34:22,2021-01-11 12:34:22,0.481s,PASSED
"waitForElementPresent(findTestObject(""home_page/wrapper_home""), 5)",Chrome 87.0.4280.141,,,2021-01-11 12:34:22,2021-01-11 12:34:23,0.288s,PASSED
,,,,,,,
Test Cases/OneID/bugfix_sp1,Chrome 87.0.4280.141,,,2021-01-11 12:34:23,2021-01-11 12:34:38,15.614s,PASSED
"callTestCase(findTestCase(""login_testcase/login""), [:], STOP_ON_FAILURE)",Chrome 87.0.4280.141,,,2021-01-11 12:34:23,2021-01-11 12:34:23,0.001s,NOT_RUN
"setText(findTestObject(""home_page/search_field""), backlog)",Chrome 87.0.4280.141,,,2021-01-11 12:34:23,2021-01-11 12:34:23,0.606s,PASSED
"submit(findTestObject(""home_page/search_field""))",Chrome 87.0.4280.141,,,2021-01-11 12:34:23,2021-01-11 12:34:27,3.271s,PASSED
