Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"verifyElementPresent(findTestObject(""issue_page/add_subtask""), 3, CONTINUE_ON_FAILURE)",Chrome 87.0.4280.141,,,2021-01-11 17:26:29,2021-01-11 17:26:30,0.684s,PASSED
"click(findTestObject(""issue_page/add_subtask""), CONTINUE_ON_FAILURE)",Chrome 87.0.4280.141,,,2021-01-11 17:26:30,2021-01-11 17:26:31,1.501s,PASSED
"waitForElementPresent(findTestObject(""issue_page/wrapper_issue""), 3, CONTINUE_ON_FAILURE)",Chrome 87.0.4280.141,,,2021-01-11 17:26:31,2021-01-11 17:26:32,0.470s,PASSED
"selectOptionByLabel(findTestObject(""issue_page/tracker/tracker_global""), tracker, false, CONTINUE_ON_FAILURE)",Chrome 87.0.4280.141,,,2021-01-11 17:26:32,2021-01-11 17:26:32,0.541s,PASSED
"click(findTestObject(""issue_page/tracker/feature_tracker""), CONTINUE_ON_FAILURE)",Chrome 87.0.4280.141,,,2021-01-11 17:26:32,2021-01-11 17:26:32,0.001s,NOT_RUN
"delay(5, CONTINUE_ON_FAILURE)",Chrome 87.0.4280.141,,,2021-01-11 17:26:32,2021-01-11 17:26:37,5.002s,PASSED
"setText(findTestObject(""issue_page/subject_issue""), subject, CONTINUE_ON_FAILURE)",Chrome 87.0.4280.141,,,2021-01-11 17:26:37,2021-01-11 17:26:38,0.604s,PASSED
"setText(findTestObject(""issue_page/description_issue""), description, CONTINUE_ON_FAILURE)",Chrome 87.0.4280.141,,,2021-01-11 17:26:38,2021-01-11 17:26:39,0.563s,PASSED
"selectOptionByLabel(findTestObject(""issue_page/assigne/assigne_global""), assigne, false, CONTINUE_ON_FAILURE)",Chrome 87.0.4280.141,,,2021-01-11 17:26:39,2021-01-11 17:26:39,0.764s,PASSED
"selectOptionByLabel(findTestObject(""issue_page/targetversion/targetversion_global""), targetversion, false, CONTINUE_ON_FAILURE)",Chrome 87.0.4280.141,,,2021-01-11 17:26:39,2021-01-11 17:26:40,0.544s,PASSED
